Date,AAPL,AXP,BA,CAT,CSCO,CVX,DIS,DOW,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,RTX,TRV,UNH,V,VZ,WMT,XOM
2025-01-17,228.9445343017578,309.95587158203125,171.08999633789062,380.2773742675781,59.11594009399414,156.03985595703125,106.56555938720703,38.75278091430664,616.4622802734375,402.00531005859375,219.12826538085938,21.489999771118164,143.56878662109375,255.09832763671875,61.3407096862793,276.1938171386719,138.41668701171875,95.17875671386719,426.6853942871094,69.65595245361328,24.52544593811035,156.9824981689453,119.36328125,236.60887145996094,500.8529968261719,317.3658447265625,36.924930572509766,91.25393676757812,108.34364318847656
2025-01-21,221.63758850097656,315.30096435546875,175.55999755859375,393.8724670410156,59.901145935058594,152.91848754882812,108.2384262084961,39.2626838684082,625.1289672851562,410.8922424316406,218.6116180419922,21.770000457763672,144.66241455078125,258.90765380859375,61.057037353515625,277.82568359375,144.16810607910156,93.54578399658203,426.1583251953125,71.94700622558594,24.84250259399414,157.55731201171875,123.93635559082031,236.25326538085938,515.81689453125,321.3476257324219,37.15345764160156,92.38542938232422,107.52373504638672
2025-01-22,222.8222198486328,319.56512451171875,174.8000030517578,393.13092041015625,60.490047454833984,151.15000915527344,108.34796142578125,38.54503631591797,623.1493530273438,402.71234130859375,217.6367950439453,21.860000610351562,141.8502197265625,258.7206115722656,60.43101501464844,276.5870361328125,146.35679626464844,93.00146484375,443.7615966796875,72.80247497558594,24.255014419555664,160.49957275390625,122.58610534667969,243.72137451171875,510.638916015625,321.2781066894531,37.0868034362793,92.53430938720703,105.65242004394531
2025-01-23,222.6529998779297,323.1549987792969,178.5,401.8219299316406,61.078948974609375,150.76345825195312,110.56848907470703,39.158809661865234,629.8169555664062,406.925048828125,220.34677124023438,21.56999969482422,143.18795776367188,261.78192138671875,60.18647384643555,279.6148681640625,146.8573455810547,93.92485809326172,444.2687683105469,73.04829406738281,24.65599822998047,161.87327575683594,124.46857452392578,238.57467651367188,520.513427734375,325.8952941894531,37.30580139160156,93.10997772216797,106.2504653930664
2025-01-24,221.77696228027344,318.6627502441406,176.05999755859375,403.0380859375,61.078948974609375,150.4155731201172,111.6837387084961,39.06438446044922,627.2562866210938,407.03302001953125,219.13803100585938,20.829999923706055,143.3637237548828,260.68927001953125,60.56795883178711,280.62744140625,146.66102600097656,92.87510681152344,441.6332702636719,72.34032440185547,24.731834411621094,160.87054443359375,123.50269317626953,238.92044067382812,523.2055053710938,327.8713073730469,37.64857864379883,94.05289459228516,104.81321716308594
2025-01-27,228.82508850097656,313.78375244140625,175.16000366210938,390.5306091308594,57.987220764160156,151.94244384765625,112.85871887207031,39.58373260498047,623.691162109375,417.21624755859375,218.48489379882812,20.290000915527344,149.2908172607422,261.6834716796875,62.475379943847656,288.1282958984375,148.71231079101562,95.19820404052734,432.1851806640625,74.31672668457031,25.461750030517578,166.3008575439453,123.24645233154297,247.95921325683594,534.0231323242188,332.1806335449219,38.69595718383789,96.67318725585938,106.2697525024414
2025-01-28,237.187255859375,314.3985595703125,177.77999877929688,385.8934020996094,58.33074188232422,150.9567413330078,111.663818359375,39.11159896850586,628.1426391601562,411.2850341796875,219.9763641357422,19.799999237060547,146.8399200439453,262.9532470703125,60.99835205078125,286.2211608886719,148.5945281982422,94.72190856933594,444.7561340332031,73.14661407470703,25.35747718811035,162.89955139160156,126.49886322021484,245.41058349609375,533.001220703125,332.12109375,38.46744155883789,96.56400299072266,104.21515655517578
2025-01-29,238.28228759765625,312.6234436035156,173.66000366210938,388.8003234863281,58.44852066040039,150.45423889160156,112.70936584472656,38.7622184753418,627.72900390625,405.9725341796875,222.87155151367188,19.75,147.591796875,262.4019775390625,61.458091735839844,285.19873046875,148.73194885253906,95.52867889404297,439.9127197265625,75.30001831054688,25.23424530029297,162.9387664794922,123.3252944946289,246.48733520507812,528.6978149414062,333.51123046875,38.35317611694336,96.77244567871094,104.82286071777344
2025-01-30,236.520263671875,316.29266357421875,179.52999877929688,370.7558898925781,59.351505279541016,151.06304931640625,112.9483413696289,36.401546478271484,635.9230346679688,407.03302001953125,251.76499938964844,20.010000228881836,149.27130126953125,264.0261535644531,62.65145492553711,285.4051818847656,151.53892517089844,96.17992401123047,412.7221374511719,77.02076721191406,25.5091495513916,164.09539794921875,127.11975860595703,246.0625457763672,536.0372924804688,340.630615234375,37.58192825317383,97.91385650634766,105.69100189208984
2025-01-31,234.93743896484375,314.80517578125,176.52000427246094,367.2557678222656,59.47909927368164,144.17282104492188,112.57991027832031,36.87368392944336,630.7033081054688,404.5584411621094,249.25973510742188,19.43000030517578,148.5682373046875,263.1107177734375,62.09389877319336,283.8125915527344,149.37969970703125,96.05355834960938,412.791748046875,75.61466217041016,25.139450073242188,162.70352172851562,127.09019470214844,242.2000732421875,533.0111083984375,339.38946533203125,37.50575256347656,97.42752075195312,103.0479965209961
